AllowedLocations,AmmoID,BattleValue,BonusValueA,BonusValueB,Capacity,ComponentSubType,ComponentTags.items,ComponentTags.tagSetSourceFile,ComponentType,CriticalComponent,Custom.BonusDescriptions,Custom.Category,Custom.Flags,Custom.InventorySorter,Description.Cost,Description.Details,Description.Icon,Description.Id,Description.Manufacturer,Description.Model,Description.Name,Description.Purchasable,Description.Rarity,Description.UIName,DisallowedLocations,InventorySize,PrefabIdentifier,Tonnage,statusEffects,Custom.ComponentExplosion,Custom.Lootable,Custom.VolatileAmmo,Custom.TRGBColor,CanExplode,Custom.ColorChangeRule,Custom.RequiredCategory,Custom.Tag
All,Ammunition_AC10_Precision,100,,,5,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""PipsIgnored: 2"",""AC10Ammo: 5""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000007""}",60000,"Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Precision_AC10,Generic,AC10 Precision,AC/10 Precision Ammo,true,3,Ammo AC/10 [PRE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":60,""StabilityDamagePerAmmo"":15}",,,"{""Color"":""#0000CD"",""SkipText"":true}",,,,
All,Ammunition_AC2_Precision,100,,,15,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""PipsIgnored: 2"",""AC2Ammo: 15""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000005""}",20000,"Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Precision_AC2,Generic,AC2 Precision,AC/2 Precision Ammo,true,3,Ammo AC/2 [PRE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":25,""StabilityDamagePerAmmo"":6}",,,"{""Color"":""#0000CD"",""SkipText"":true}",,,,
All,Ammunition_AC20_Precision,100,,,3,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""PipsIgnored: 2"",""AC20Ammo: 3""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000008""}",80000,"Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Precision_AC20,Generic,AC20 Precision,AC/20 Precision Ammo,true,3,Ammo AC/20 [PRE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":100,""StabilityDamagePerAmmo"":25}",,,"{""Color"":""#0000CD"",""SkipText"":true}",,,,
All,Ammunition_AC5_Precision,0,,,10,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""PipsIgnored: 2"",""AC5Ammo: 10""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000006""}",40000,"Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical Hit, any remaining ammunition stored inside an Ammo Bin will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Precision_AC5,Generic,AC5 Precision,AC/5 Precision Ammo,true,3,Ammo AC/5 [PRE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":45,""StabilityDamagePerAmmo"":12}",,,"{""Color"":""#0000CD"",""SkipText"":true}",,,,
All,Ammunition_AC10,0,,,7,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Protected: 75%"",""AC10Ammo: 7""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000007""}",60000,"C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech. Once sensors have detected an ammunition explosion the plate nearest to the outside is jettisoned. Resulting in much of the explosive potential to expand towards the free space outside and away from the mech.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Protected_AC10,CASE'd,AC10,AC/10 Ammo,true,2,Ammo AC/10 [SAFE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":15,""StabilityDamagePerAmmo"":4}",,,,,,,
All,Ammunition_AC2,0,,,22,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Protected: 75%"",""AC2Ammo: 22""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000005""}",20000,"C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech. Once sensors have detected an ammunition explosion the plate nearest to the outside is jettisoned. Resulting in much of the explosive potential to expand towards the free space outside and away from the mech.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Protected_AC2,CASE'd,AC2,AC/2 Ammo,true,2,Ammo AC/2 [SAFE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":6,""StabilityDamagePerAmmo"":2}",,,,,,,
All,Ammunition_AC20,0,,,4,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Protected: 75%"",""AC20Ammo: 4""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000008""}",80000,"C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech. Once sensors have detected an ammunition explosion the plate nearest to the outside is jettisoned. Resulting in much of the explosive potential to expand towards the free space outside and away from the mech. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Protected_AC20,CASE'd,AC20,AC/20 Ammo,true,2,Ammo AC/20 [SAFE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":25,""StabilityDamagePerAmmo"":6}",,,,,,,
All,Ammunition_AC5,0,,,15,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Protected: 75%"",""AC5Ammo: 15""]}","[{""CategoryID"":""a/a/a/ac""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000006""}",40000,"C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech. Once sensors have detected an ammunition explosion the plate nearest to the outside is jettisoned. Resulting in much of the explosive potential to expand towards the free space outside and away from the mech.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Protected_AC5,CASE'd,AC5,AC/5 Ammo,true,2,Ammo AC/5 [SAFE],All,1,,1,[],"{""ExplosionDamagePerAmmo"":11,""StabilityDamagePerAmmo"":3}",,,,,,,
All,Ammunition_ChemLarge,0,,,10,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""ChemLargeAmmo: 10""]}","[{""CategoryID"":""a/e/l/chemical""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ChemLaser,Ammo_AmmunitionBox_Generic_Chem_Large,Generic,ChemLaser Reagent,Chemical Ammo,true,1,Ammo Chemical Large,All,1,,1,[],"{""ExplosionDamagePerAmmo"":45,""StabilityDamagePerAmmo"":11}",,,,,,,
All,Ammunition_ChemMedium,0,,,30,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""ChemMediumAmmo: 30""]}","[{""CategoryID"":""a/e/l/chemical""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ChemLaser,Ammo_AmmunitionBox_Generic_Chem_Medium,Generic,ChemLaser Reagent,Chemical Ammo,true,1,Ammo Chemical Medium,All,1,,1,[],"{""ExplosionDamagePerAmmo"":25,""StabilityDamagePerAmmo"":6}",,,,,,,
All,Ammunition_ChemMedium,0,,,15,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""ChemMediumAmmo: 15""]}","[{""CategoryID"":""a/e/l/chemical""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",30000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ChemLaser,Ammo_AmmunitionBox_Generic_Chem_Medium_half,Generic,ChemLaser Reagent,Chemical Ammo,true,1,Ammo Chemical Medium [Half],All,1,,0.5,[],"{""ExplosionDamagePerAmmo"":25,""StabilityDamagePerAmmo"":6}",,,,,,,
All,Ammunition_ChemSmall,0,,,60,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""ChemSmallAmmo: 60""]}","[{""CategoryID"":""a/e/l/chemical""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",ChemLaser,Ammo_AmmunitionBox_Generic_Chem_Small,Generic,ChemLaser Reagent,Chemical Ammo,true,1,Ammo Chemical Small,All,1,,1,[],"{""ExplosionDamagePerAmmo"":15,""StabilityDamagePerAmmo"":4}",,,,,,,
All,Ammunition_HeavyFlamer_AOE,0,,,16,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""AreaOfEffect: 60"",""AreaOfEffectDmg: 5"",""AreaOfEffectHeatDmg: +10"",""FlamerDamage: -50%"",""FlamerHeatDamage: -10"",""HeavyFlamerAmmo: 16"",""VolatileAmmo""]}","[{""CategoryID"":""a/e/p/aflamer""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",pyromaniac,Ammo_AmmunitionBox_AOE_HeavyFlamer,Generic,Heavy Flamer,Heavy Flamer Ammo,true,1,Ammo Heavy Flamer AOE,All,1,,1,[],"{""ExplosionDamagePerAmmo"":10,""HeatDamagePerAmmo"":10,""StabilityDamagePerAmmo"":1}",,"{""damageWeighting"":0.7}",,,,,
All,Ammunition_HeavyFlamer,0,,,20,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""HeavyFlamerAmmo: 20"",""VolatileAmmo""]}","[{""CategoryID"":""a/e/p/aflamer""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",pyromaniac,Ammo_AmmunitionBox_Generic_HeavyFlamer,Generic,Vehicle Flamer,Vehicle Flamer Ammo,true,1,Ammo Flamer,All,1,,1,[],"{""ExplosionDamagePerAmmo"":10,""HeatDamagePerAmmo"":10,""StabilityDamagePerAmmo"":1}",,"{""damageWeighting"":0.7}",,,,,
All,Ammunition_HeavyFlamer_Sticky,0,,,16,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""PIRATEFLAMERDEBUFF: 25%"",""Inferno: +5"",""AlwaysStartsFireAnywhere"",""FireTerrainStrength: 10"",""FireTerrainDuration: 3"",""FlamerDamage: -5"",""FlamerHeatDamage: -10"",""HeavyFlamerAmmo: 16"",""VolatileAmmo""]}","[{""CategoryID"":""a/e/p/aflamer""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000050""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",pyromaniac,Ammo_AmmunitionBox_Sticky_HeavyFlamer,Generic,Heavy Flamer,Heavy Flamer Ammo,true,1,Ammo Heavy Flamer Sticky,All,1,,1,[],"{""ExplosionDamagePerAmmo"":10,""HeatDamagePerAmmo"":10,""StabilityDamagePerAmmo"":3}",,"{""damageWeighting"":0.7}",,,,,
All,Ammunition_Fluid_Acid,0,,,8,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Acid: 30%"",""WeaponDamage: +6"",""ArmorDmgMod: +50%"",""StructureDmgMod: -50%"",""FluidAcidAmmo: 8""]}","[{""CategoryID"":""a/s/m/melee""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000036""}",10000,"Pressurized Canister containing Acid for the Fluid gun, weakening a targets Armor Drastically. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Support,Ammo_AmmunitionBox_Fluid_Acid,Generic,Acid,Acid Ammo,true,1,Ammo Fluid Acid,All,1,,1,[],"{""ExplosionDamagePerAmmo"":8,""HeatDamagePerAmmo"":2,""StabilityDamagePerAmmo"":2}",,,,,,,
All,Ammunition_Fluid_Inferno,0,,,8,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Inferno: 15"",""AlwaysStartsFire"",""FluidInfernoAmmo: 8"",""VolatileAmmo""]}","[{""CategoryID"":""a/s/m/melee""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000036""}",10000,"Pressurized Canister containing Inferno for the Fluid gun, coating the Target in burning Chemicals. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E. 

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Support,Ammo_AmmunitionBox_Fluid_Inferno,Generic,Inferno,Inferno Ammo,true,1,Ammo Fluid Inferno,All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""HeatDamagePerAmmo"":8,""StabilityDamagePerAmmo"":1}",,"{""damageWeighting"":0.7}",,,,,
All,Ammunition_Fluid_Oil,0,,,8,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Oilslick: X2"",""ImpMove: 50%"",""StabDamage: 8"",""FluidOilAmmo: 8""]}","[{""CategoryID"":""a/s/m/melee""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000036""}",10000,"Pressurized Canister containing Oil for the Fluid gun, impairing a Targets Stability and Movement. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Support,Ammo_AmmunitionBox_Fluid_Oil,Generic,Oil,Oil Ammo,true,1,Ammo Fluid Oil,All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""HeatDamagePerAmmo"":1,""StabilityDamagePerAmmo"":8}",,,,,,,
All,Ammunition_Fluid_Paint,0,,,10,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Paint"",""FluidPaintAmmo: 10""]}","[{""CategoryID"":""a/s/m/melee""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000036""}",10000,"Pressurized Canister containing Magnetized Paint for the Fluid gun, impairing a Targets Vision and Accuracy and covering it in high visibility paint. On a Critical Hit, the Pressurized Container will explode dealing damage to the install location. Risk can be mitigated with the use of C.A.S.E.

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",uixSvgIcon_ammoBox_Support,Ammo_AmmunitionBox_Fluid_Paint,Generic,Paint,Paint Ammo,true,1,Ammo Fluid Paint,All,1,,1,[],"{""ExplosionDamagePerAmmo"":1,""HeatDamagePerAmmo"":1,""StabilityDamagePerAmmo"":1}",,,,,,,
All,Ammunition_GAUSS,0,,,8,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""GaussAmmo: 8"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",GAUSS,Ammo_AmmunitionBox_Generic_GAUSS,Generic,GAUSS,Gauss Ammo,true,1,Ammo Gauss,All,1,,1,[],,,,,,,,
All,Ammunition_GAUSS,0,,,20,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""Doubled"",""GaussAmmo: 20"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",150000,"Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one location. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",GAUSS,Ammo_AmmunitionBox_Generic_GAUSS_double,Generic,GAUSS,Gauss Ammo,true,5,Ammo Gauss [DBL],All,2,,2,[],,,,,,,,
All,Ammunition_GAUSS,0,,,4,Ammunition,"[""component_type_stock""]",,AmmunitionBox,false,"{""Bonuses"":[""GaussAmmo: 4"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000028""}",30000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",GAUSS,Ammo_AmmunitionBox_Generic_GAUSS_half,Generic,GAUSS,Gauss Ammo,true,2,Ammo Gauss [Half],All,1,,0.5,[],,,,,,,,
All,Ammunition_HGAUSS,0,+25% DMG|-1Accuracy|,-50%Range.,4,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""HeavyGaussAmmo: 4"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000029""}",90000,"Heavy Gauss ammo fires a heavier projectile drastically reducing range but increasing the damage profile. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",HeavyGauss,Ammo_AmmunitionBox_Heavy_GAUSS,Generic,GAUSS,Gauss Heavy Ammo,true,1,Ammo Heavy Gauss,All,1,,1,[],,,,,,,,
All,Ammunition_HGAUSS,0,+25% DMG|-1Accuracy|,-50%Range.,10,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""Doubled"",""HeavyGaussAmmo: 10"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000029""}",270000,"Heavy Gauss ammo fires a heavier projectile drastically reducing range but increasing the damage profile. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",HeavyGauss,Ammo_AmmunitionBox_Heavy_GAUSS_double,Generic,GAUSS,Gauss Heavy Ammo,true,5,Ammo Heavy Gauss [DBL],All,2,,2,[],,,,,,,,
All,Ammunition_HYPERGAUSS,0,+25% DMG|-1Accuracy|,-50%Range.,12,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""HyperGaussAmmo: 12"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/hag""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000030""}",90000,"Hyper Assault Gauss Rifles fire a multitude of Small Caliber Gauss slugs akin to a Rotary AutoCannon, shredding its target. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",HAGR,Ammo_AmmunitionBox_Hyper_GAUSS,Generic,GAUSS,Gauss Heavy Ammo,true,1,Ammo Hyper Gauss,All,1,,1,[],,,,,,,,
All,Ammunition_HYPERGAUSS,0,+25% DMG|-1Accuracy|,-50%Range.,30,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""HyperGaussAmmo: 30"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/hag""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000030""}",90000,"Hyper Assault Gauss Rifles fire a multitude of Small Caliber Gauss slugs akin to a Rotary AutoCannon, shredding its target. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",HAGR,Ammo_AmmunitionBox_Hyper_GAUSS_double,Generic,GAUSS,Gauss Heavy Ammo,true,1,Ammo Hyper Gauss [DBL],All,2,,2,[],,,,,,,,
All,Ammunition_LGAUSS,0,-40% DMG|+1Accuracy|,+30%Range.,16,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""LightGaussAmmo: 16"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000027""}",90000,"Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damage and a longer minimum range. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",LightGauss,Ammo_AmmunitionBox_Light_GAUSS,Generic,GAUSS,Gauss Light Ammo,true,1,Ammo Light Gauss,All,1,,1,[],,,,,,,,
All,Ammunition_LGAUSS,0,-40% DMG|+1Accuracy|,+30%Range.,40,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""Doubled"",""LightGaussAmmo: 40"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000027""}",270000,"Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damage and a longer minimum range. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",LightGauss,Ammo_AmmunitionBox_Light_GAUSS_double,Generic,GAUSS,Gauss Light Ammo,true,5,Ammo Light Gauss [DBL],All,2,,2,[],,,,,,,,
All,Ammunition_LGAUSS,0,-40% DMG|+1Accuracy|,+30%Range.,8,Ammunition,"[""component_type_variant"",""component_type_variant1""]",,AmmunitionBox,false,"{""Bonuses"":[""LightGaussAmmo: 8"",""InertAmmo""]}","[{""CategoryID"":""a/a/g/gaussrifle""}]","{""flags"":[""not_broken""]}","{""SortKey"":""000027""}",90000,"Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damage and a longer minimum range. <b><color=#099ff2>Does not explode.</color></b>

 <b><color=#00ffff>Left Click on Ammo count during battle to swap Ammo Type. Ctrl+click on ammunition counter to eject ammo.</color> </b>",LightGauss,Ammo_AmmunitionBox_Light_GAUSS_half,Generic,GAUSS,Gauss Light Ammo,true,1,Ammo Light Gauss [Half],All,1,,0.5,[],,,,,,,,
All,Ammunition_LB10X,0,,,64,Ammunition,"[""component_type_stock"",""component_type_lostech"",""BLACKLISTED""]",,AmmunitionBox,false,,,,,40000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 10-X Ammo Bins each contain 8 rounds and may feed multiple weapons.",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Generic_LB10X,Generic,LB10X,LB 10-X Ammo,true,0,LB 10-X Ammo,All,1,,1,[],,,,,true,,,
All,Ammunition_LB20X,0,,,30,Ammunition,"[""component_type_stock"",""component_type_lostech"",""BLACKLISTED""]",,AmmunitionBox,false,,,,,50000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 20-X Ammo Bins each contain 5 rounds and may feed multiple weapons.",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Generic_LB20X,Generic,LB20X,LB 20-X Ammo,true,0,LB 20-X Ammo,All,1,,1,[],,,,,true,,,
All,Ammunition_LB2X,0,,,300,Ammunition,"[""component_type_stock"",""component_type_lostech"",""BLACKLISTED""]",,AmmunitionBox,false,,,,,20000,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LB 2-X Ammo Bins each contain 25 rounds and may feed multiple weapons.",uixSvgIcon_ammoBox_Ballistic,Ammo_AmmunitionBox_Generic_LB2X,Generic,LB2X,LB 2-X Ammo,true,0,LB 2-X Ammo,All,1,,1,[],,,,,true,,,
